Dairy Name,Dairy Address,Milk Cows,Dry Cows,Bred Heifers,Heifers,Calves (4-6 mo.),Calves (0-3 mo.),Total Herd Size,Total Manure Excreted (tons),Total Dry Manure Generated N (lbs),Total Dry Manure Generated N After Ammonia Losses (lbs),Total Dry Manure Generated P (lbs),Total Dry Manure Generated K (lbs),Total Dry Manure Generated Salt (lbs),Total Process Wastewater Generated (gals),Total Process Wastewater Generated N (lbs),Total Process Wastewater Generated P (lbs),Total Process Wastewater Generated K (lbs),Total Process Wastewater Generated Salt (lbs),Average Milk Production (lb per cow per day),Applied N Dry Manure (lbs),Applied P Dry Manure (lbs),Applied K Dry Manure (lbs),Applied Salt Dry Manure (lbs),Applied Process Wastewater N (lbs),Applied Process Wastewater P (lbs),Applied Process Wastewater K (lbs),Applied Process Wastewater Salt (lbs),Applied to Remove Ratio N,Applied to Remove Ratio P,Applied to Remove Ratio K,Applied to Remove Ratio Salt,Total Exports N (lbs),Total Exports P (lbs),Total Exports K (lbs),Total Exports Salt (lbs),Total Applied N (lbs),Total Applied P (lbs),Total Applied K (lbs),Total Applied Salt (lbs),Unaccounted-for N (lbs),Unaccounted-for P (lbs),Unaccounted-for K (lbs),Unaccounted-for Salt (lbs),Average Milk Production (kg per cow),Average Milk Production (L per cow),Total Annual Milk Production (L),Total Process Wastewater Generated (L),Ratio of Wastewater to Milk (L/L),USDA Nitrogen from Manure (lbs),Ratio of USDA N to Reported N,UCCE Nitrogen from Manure (lbs),Ratio of UCCE N to Reported N,Manure Conversion Factor (tons per cow per year)
A.T.O. Dairy,19249 S Fruit AVE Riverdale Fresno 93656,850,100,350,300,150,0,1750,30121.71,370064.5,259045.15,61171.54,161665.94,423217.5,49740000.0,149183.65,12045.79,97169.79,468317.98,68.0,145790.0,58050.0,239270.0,5734450.2,149183.65,12045.79,97169.79,468317.98,1.06,1.24,0.92,4.68,0.0,0.0,0.0,0.0,294973.65,70095.79000000001,336439.79,6202768.18,113255.14999999997,3121.5399999999936,-77604.06,-5311232.699999999,30.844256,29.949772576,10385083.640728,188286293.4,18.13045517145214,389172.49319999997,1.051634223763695,440225.60975609755,1.1895915705399938,24.23925632973503
AJ Slenders Dairy,625 E Coleman AVE Laton Fresno 93242,1012,110,450,350,150,0,2072,35675.27,436853.17,305797.22,72356.97,191147.8,501794.7,30835000.0,90474.48,12953.52,64769.56,455182.0,66.0,0.0,0.0,0.0,0.0,38818.18,6154.97,32132.47,214588.75,1.23,0.89,0.67,1.14,147656.3,318798.56,147237.08,2554313.84,38818.18,6154.97,32132.47,214588.75,209797.21999999997,-239643.03999999998,76547.81,-1811925.89,29.937072,29.068896912,11904585.352371361,116723117.35000001,9.804887267808036,460924.4884,1.0551016223597507,523036.09756097564,1.197281222798442,24.27614137290048
AJF Dairy,23435 12 RD Chowchilla Madera 93610,780,90,232,0,0,120,1222,24164.44,306170.28,214319.2,50614.35,149377.2,387958.5,20932001.0,101980.64,10452.31,172716.77,818584.76,70.0,67073.98,23962.76,121838.0,353928.6,101980.64,10452.31,172716.77,818584.76,0.87,1.0,1.25,1.09,0.0,0.0,0.0,0.0,169054.62,34415.07,294554.77,1172513.3599999999,147245.22000000003,26651.589999999997,27539.199999999953,34029.90000000014,31.75144,30.83064824,9790272.348612,79236205.90541,8.093360744621533,312204.5648,1.0197089175343863,353871.9512195122,1.1558011157043466,24.19394481074481
ADAMSCOWS DAIRY,16661 S FOWLER AVE SELMA Fresno 93662,60,10,20,20,15,15,140,2195.28,27368.87,19158.21,4415.3,11529.97,30550.5,457075.0,990.59,7.02,81.17,2233.26,71.0,14700.0,5120.0,28580.0,984312.8,990.59,7.02,81.17,2233.26,0.57,0.87,0.71,5.3,0.0,0.0,0.0,0.0,15690.59,5127.02,28661.17,986546.06,4458.209999999999,-704.6999999999998,-17050.03,-953762.3,32.205032,31.271086072000003,798976.2491396002,1730216.27575,2.165541563486063,28363.017600000003,1.036324027992387,32226.829268292684,1.177499446206317,22.960836734693878
Alfred O. Soares Dairy,21282 Road 6 RD Chowchilla Madera 93610,940,140,750,610,430,0,2870,40365.81,477420.37,334194.26,77487.01,173842.87,474792.0,3090000.0,5757.05,1518.52,6457.03,31393.89,60.0,0.0,0.0,0.0,0.0,5757.05,1518.52,6457.03,31393.89,0.15,0.36,0.25,0.57,0.0,0.0,0.0,0.0,5757.05,1518.52,6457.03,31393.89,334194.26,77487.01,173842.87,474792.0,27.215519999999998,26.426269919999996,10417235.602463998,11696916.9,1.1228426951612114,521526.26519999997,1.0923837732353145,594950.0,1.2461764042451728,23.267231969633066
BANOS DAIRY,4667 Avenue 23 1/2 Chowchilla Madera 93610,610,77,76,0,0,0,763,17422.84,223974.72,156782.3,37365.75,116019.09,304924.65,7344000.0,15970.33,2849.42,25411.93,160784.78,68.0,0.0,0.0,0.0,0.0,15970.33,2849.42,25411.93,160784.78,1.4,1.71,1.56,1.98,136403.4,31143.48,146307.0,0.0,15970.33,2849.42,25411.93,160784.78,20378.899999999994,6222.27,-30287.910000000003,304924.65,30.844256,29.949772576,7510055.22229488,27800051.040000003,3.7017106022697157,225103.0928,1.0050379471397486,260903.78048780485,1.1648804851181636,24.37426007438496
Bapu Farming Company,7500 Ave. 14 Madera Madera 93637,0,0,0,0,0,0,0,1.0,1.0,0.7,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141826.87,68996.85,342428.83,0.0,0.0,0.0,0.0,0.0,-141826.16999999998,-68995.85,-342427.83,0.0,0.453592,0.440437832,0.0,0.0,,,,,,
Bar None Dairy / van der Hoek Dairy,15886 S Lassen AVE Helm Fresno 93627,3600,250,1890,675,525,0,6940,119543.96,1473522.85,1031466.0,244372.19,668146.42,1752547.5,19777500.0,99355.71,20095.96,126661.02,778322.5,61.0,213577.11,73174.15,468869.81,0.0,99355.71,20095.96,126661.02,778322.5,1.23,0.73,1.2,4.72,0.0,0.0,0.0,0.0,312932.82,93270.10999999999,595530.83,778322.5,817888.8899999999,171198.04000000004,199276.6100000001,1752547.5,27.669112,26.866707751999996,37754441.06849799,74865946.275,1.9829705898485028,1544507.9632,1.048173744438371,1771140.2439024393,1.201976775522985,24.00246013712047
"BIG DE DAIRY, LP",2947 W Manning AVE Fresno Fresno 93706,1147,138,685,686,368,0,3024,47060.71,572858.88,401001.22,94385.59,225689.72,571798.05,40320000.0,96597.05,20709.75,124968.71,703102.97,78.0,37210.19,11385.21,76086.51,0.0,96597.05,20709.75,124968.71,703102.97,1.07,1.38,1.14,1.84,211490.25,40507.37,360240.54,0.0,133807.24,32094.96,201055.22,703102.97,152300.77999999997,42493.01,-210637.33,571798.05,35.380176,34.354150896,16112955.6239964,152627731.20000002,9.472360922579435,608024.3732,1.0613859615827201,668484.1463414636,1.1669263926596782,24.49522800558588
Black Diamond Dairy,18541 S Fruit AVE Riverdale Fresno 93656,975,80,400,300,250,0,2005,34003.01,419304.5,293513.15,69155.87,186080.92,477474.75,44225000.0,141138.97,18224.91,110438.01,694792.18,69.0,0.0,0.0,0.0,0.0,71082.17,8229.47,52300.24,319157.03,1.35,1.12,1.09,0.49,268056.8,83495.43,317637.77,6615785.15,71082.17,8229.47,52300.24,319157.03,95513.15000000002,-4344.119999999995,-73419.08000000002,-5762675.25,31.297848,30.390210407999998,11702510.2728606,167409757.25,14.305456978597277,439318.88920000003,1.047732350117874,489678.65853658534,1.167835447834653,24.243516389879144
